id,team_name,team_pic_url
1,New Jersey Devils,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/New-Jersey-Devils-Logo-1024x640.png
2,New York Islanders,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Islanders-Logo-768x645.png
3,New York Rangers,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/New-York-Rangers-Logo-1024x640.png
4,Philadelphia Flyers,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Philadelphia-Flyers-Logo-1024x640.png
5,Pittsburgh Penguins,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Pittsburgh-Penguins-Logo-1536x864.png
6,Boston Bruins,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Boston-Bruins-Logo-1536x864.png
7,Buffalo Sabres,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Buffalo-Sabres-Logo-1024x640.png
8,Montreal Canadiens,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Montreal-Canadiens-Logo-1024x640.png
9,Ottawa Senators,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Ottawa-Senators-logo-1024x814.png
10,Toronto Maple Leafs,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Toronto-Maple-Leafs-Logo.png
11,Atlanta Thrashers,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Atlanta_Thrashers.svg.png
12,Carolina Hurricanes,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Carolina-Hurricanes-Logo-1024x640.png
13,Florida Panthers,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Florida-Panthers-Logo-1024x640.png
14,Tampa Bay Lightning,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Tampa-Bay-Lightning-Logo-1024x640.png
15,Washington Capitals,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Washington-Capitals-Logo-1536x960.png
16,Chicago Blackhawks,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Blackhawks-Logo-1024x640.png
17,Detroit Red Wings,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Detroit-Red-Wings-Logo-1024x640.png
18,Nashville Predators,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Nashville-Predators-Logo-1024x640.png
19,St. Louis Blues,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/St.-Louis-Blues-Logo-1024x640.png
20,Calgary Flames,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Calgary-Flames-logo-1536x864.png
21,Colorado Avalanche,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Colorado-Avalanche-Logo-1024x640.png
22,Edmonton Oilers,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Edmonton-Oilers-Logo-1024x640.png
23,Vancouver Canucks,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Vancouver-Canucks-Logo-1536x960.png
24,Anaheim Ducks,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Anaheim-Ducks-Logo-1536x864.png
25,Dallas Stars,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Dallas-Stars-logo-1536x864.png
26,Los Angeles Kings,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Los-Angeles-Kings-Logo-1536x864.png
27,Phoenix Coyotes,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Arizona-Coyotes-logo-1536x864+(1).png
28,San Jose Sharks,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/logo-San-Jose-Sharks-1024x640.png
29,Columbus Blue Jackets,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Columbus-Blue-Jackets-Logo-1024x640.png
30,Minnesota Wild,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Minnesota-Wild-logo-1536x864.png
52,Winnipeg Jets,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Winnipeg-Jets-Logo-1536x960.png
53,Arizona Coyotes,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Arizona-Coyotes-logo-1536x864.png
54,Vegas Golden Knights,https://nhl-team-logo.s3.ap-southeast-1.amazonaws.com/nhl_logos/Vegas-Golden-Knights-Logo-1536x960.png

